Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
Pulcritud	No eres....	Editorial		[]	false	[{"displayOrder":0,"qnaId":3,"displayText":"Prudente"},{"displayOrder":0,"qnaId":8,"displayText":"Espontáneo"}]	2
Perseverancia	No eres....	Editorial		[]	false	[{"displayOrder":0,"qnaId":3,"displayText":"Prudente"},{"displayOrder":0,"qnaId":8,"displayText":"Espontáneo"}]	2
Prudente	En el día de La Purga, ¿Qué harías?	Editorial		[]	false	[{"displayOrder":0,"qnaId":4,"displayText":"Robarías"},{"displayOrder":0,"qnaId":7,"displayText":"Matarías a tus enemigos"},{"displayOrder":0,"qnaId":13,"displayText":"Proteger indefensos"},{"displayOrder":0,"qnaId":19,"displayText":"Luchar contra la injusticia"}]	3
Robarías	{"Text":"Harley Quinn", "SSML":"<say-as interpret-as=\"interjection\">boom</say-as>, Harley Quinn", "image":"https://esalcedoost.blob.core.windows.net/superhero/Harley_Quinn.png"}	Editorial		[]	false	[]	4
Comercial	{"Text":"Harley Quinn", "SSML":"<say-as interpret-as=\"interjection\">boom</say-as>, Harley Quinn", "image":"https://esalcedoost.blob.core.windows.net/superhero/Harley_Quinn.png"}	Editorial		[]	false	[]	4
Aprender	{"Text":"Black Canary", "SSML":"<say-as interpret-as=\"interjection\">boom</say-as>, Black Canary", "image":"https://esalcedoost.blob.core.windows.net/superhero/Black_Canary.png"}	Editorial		[]	false	[]	5
Jefe	{"Text":"Black Canary", "SSML":"<say-as interpret-as=\"interjection\">boom</say-as>, Black Canary", "image":"https://esalcedoost.blob.core.windows.net/superhero/Black_Canary.png"}	Editorial		[]	false	[]	5
Matarías a tus enemigos	{"Text":"Poison Ivy", "SSML":"<say-as interpret-as=\"interjection\">boom</say-as>, Poison Ivy", "image":"https://esalcedoost.blob.core.windows.net/superhero/Poison_Ivy.png"}	Editorial		[]	false	[]	7
Cuñao	{"Text":"Poison Ivy", "SSML":"<say-as interpret-as=\"interjection\">boom</say-as>, Poison Ivy", "image":"https://esalcedoost.blob.core.windows.net/superhero/Poison_Ivy.png"}	Editorial		[]	false	[]	7
Espontáneo	¿Qué es lo que más te gusta de tu trabajo?	Editorial		[]	false	[{"displayOrder":0,"qnaId":10,"displayText":"Dinero"},{"displayOrder":0,"qnaId":5,"displayText":"Aprender"},{"displayOrder":0,"qnaId":16,"displayText":"Crear"},{"displayOrder":0,"qnaId":14,"displayText":"La hora de salida"}]	8
Independiente	¿Qué es lo que más te gusta de tu trabajo?	Editorial		[]	false	[{"displayOrder":0,"qnaId":10,"displayText":"Dinero"},{"displayOrder":0,"qnaId":5,"displayText":"Aprender"},{"displayOrder":0,"qnaId":16,"displayText":"Crear"},{"displayOrder":0,"qnaId":14,"displayText":"La hora de salida"}]	8
Comenzar	Empecemos, ¿Qué nunca debería faltar en tu equipo?	Editorial		[]	false	[{"displayOrder":0,"qnaId":2,"displayText":"Pulcritud"},{"displayOrder":0,"qnaId":11,"displayText":"Empatía"}]	9
Empezar	Empecemos, ¿Qué nunca debería faltar en tu equipo?	Editorial		[]	false	[{"displayOrder":0,"qnaId":2,"displayText":"Pulcritud"},{"displayOrder":0,"qnaId":11,"displayText":"Empatía"}]	9
Hazme el test	Empecemos, ¿Qué nunca debería faltar en tu equipo?	Editorial		[]	false	[{"displayOrder":0,"qnaId":2,"displayText":"Pulcritud"},{"displayOrder":0,"qnaId":11,"displayText":"Empatía"}]	9
Testéame	Empecemos, ¿Qué nunca debería faltar en tu equipo?	Editorial		[]	false	[{"displayOrder":0,"qnaId":2,"displayText":"Pulcritud"},{"displayOrder":0,"qnaId":11,"displayText":"Empatía"}]	9
¿Qué superhéroe soy?	Empecemos, ¿Qué nunca debería faltar en tu equipo?	Editorial		[]	false	[{"displayOrder":0,"qnaId":2,"displayText":"Pulcritud"},{"displayOrder":0,"qnaId":11,"displayText":"Empatía"}]	9
Dime mi superhéroe	Empecemos, ¿Qué nunca debería faltar en tu equipo?	Editorial		[]	false	[{"displayOrder":0,"qnaId":2,"displayText":"Pulcritud"},{"displayOrder":0,"qnaId":11,"displayText":"Empatía"}]	9
Quiero saber mi héroe interior	Empecemos, ¿Qué nunca debería faltar en tu equipo?	Editorial		[]	false	[{"displayOrder":0,"qnaId":2,"displayText":"Pulcritud"},{"displayOrder":0,"qnaId":11,"displayText":"Empatía"}]	9
Quién soy en realidad	Empecemos, ¿Qué nunca debería faltar en tu equipo?	Editorial		[]	false	[{"displayOrder":0,"qnaId":2,"displayText":"Pulcritud"},{"displayOrder":0,"qnaId":11,"displayText":"Empatía"}]	9
Dinero	{"Text":"Catwoman", "SSML":"<say-as interpret-as=\"interjection\">boom</say-as>, Catwoman", "image":"https://esalcedoost.blob.core.windows.net/superhero/Catwoman.png"}	Editorial		[]	false	[]	10
Compi	{"Text":"Catwoman", "SSML":"<say-as interpret-as=\"interjection\">boom</say-as>, Catwoman", "image":"https://esalcedoost.blob.core.windows.net/superhero/Catwoman.png"}	Editorial		[]	false	[]	10
Empatía	Si tuvieras un superpoder, sería...	Editorial		[]	false	[{"displayOrder":0,"qnaId":12,"displayText":"Invisibilidad"},{"displayOrder":0,"qnaId":17,"displayText":"Teletransporte"}]	11
Invisibilidad	¿Qué rol desempeñas en tu equipo?	Editorial		[]	false	[{"displayOrder":0,"qnaId":13,"displayText":"Pringao"},{"displayOrder":0,"qnaId":14,"displayText":"Escaqueo"},{"displayOrder":0,"qnaId":16,"displayText":"Apaga fuegos"},{"displayOrder":0,"qnaId":19,"displayText":"Lider"}]	12
Pringao	{"Text":"Aquaman", "SSML":"<say-as interpret-as=\"interjection\">boom</say-as>, Aquaman", "image":"https://esalcedoost.blob.core.windows.net/superhero/Aquaman.png"}	Editorial		[]	false	[]	13
Proteger indefensos	{"Text":"Aquaman", "SSML":"<say-as interpret-as=\"interjection\">boom</say-as>, Aquaman", "image":"https://esalcedoost.blob.core.windows.net/superhero/Aquaman.png"}	Editorial		[]	false	[]	13
Escaqueo	{"Text":"Deathstroke", "SSML":"<say-as interpret-as=\"interjection\">boom</say-as>, Deathstroke", "image":"https://esalcedoost.blob.core.windows.net/superhero/Deathstroke.png"}	Editorial		[]	false	[]	14
La hora de salida	{"Text":"Deathstroke", "SSML":"<say-as interpret-as=\"interjection\">boom</say-as>, Deathstroke", "image":"https://esalcedoost.blob.core.windows.net/superhero/Deathstroke.png"}	Editorial		[]	false	[]	14
Apaga fuegos	{"Text":"Martian Manhunter", "SSML":"<say-as interpret-as=\"interjection\">boom</say-as>, Martian Manhunter", "image":"https://esalcedoost.blob.core.windows.net/superhero/Martian_manhunter.png"}	Editorial		[]	false	[]	16
Crear	{"Text":"Martian Manhunter", "SSML":"<say-as interpret-as=\"interjection\">boom</say-as>, Martian Manhunter", "image":"https://esalcedoost.blob.core.windows.net/superhero/Martian_manhunter.png"}	Editorial		[]	false	[]	16
Teletransporte	¿Contra quién usarías tu superpoder?	Editorial		[]	false	[{"displayOrder":0,"qnaId":4,"displayText":"Comercial"},{"displayOrder":0,"qnaId":5,"displayText":"Jefe"},{"displayOrder":0,"qnaId":7,"displayText":"Cuñao"},{"displayOrder":0,"qnaId":10,"displayText":"Compi"}]	17
Luchar contra la injusticia	{"Text":"Superman", "SSML":"<say-as interpret-as=\"interjection\">boom</say-as>, Superman", "image":"https://esalcedoost.blob.core.windows.net/superhero/Superman.png"}	Editorial		[]	false	[]	19
Lider	{"Text":"Superman", "SSML":"<say-as interpret-as=\"interjection\">boom</say-as>, Superman", "image":"https://esalcedoost.blob.core.windows.net/superhero/Superman.png"}	Editorial		[]	false	[]	19
